chr	end	rsID	gene.symbol	ClinicalSignificance.1	PhenotypeList	trait	pvalue	start.x	start.y	epi_chr	epi_start	epi_end	epi_state	eQTL_gut_tissue	eQTL_gut_gene
chr1	72751185	rs3101336	NEGR1	NA	NA	obesity	2e-08	72751184	72751185	chr1	72751000	72751200	2_TssAFlnk	ENSG00000172260.9	Esophagus_Muscularis
chr1	72751185	rs3101336	NEGR1	NA	NA	obesity	1e-13	72751184	72751185	chr1	72751000	72751200	2_TssAFlnk	ENSG00000172260.9	Esophagus_Muscularis
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817800	109819800	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817800	109819800	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817800	109819800	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109821400	7_Enh	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109821400	7_Enh	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109821400	7_Enh	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109820200	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109820200	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109820200	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109819800	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109819800	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109819800	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818200	109820200	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818200	109820200	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818200	109820200	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817800	109818800	6_EnhG	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817800	109818800	6_EnhG	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817800	109818800	6_EnhG	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818200	109818600	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818200	109818600	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818200	109818600	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109819600	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109819600	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109818000	109819600	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109820000	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109820000	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109820000	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109816400	109820800	7_Enh	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109816400	109820800	7_Enh	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109816400	109820800	7_Enh	ENSG00000134243.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109819600	5_TxWk	ENSG00000134222.12	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109819600	5_TxWk	ENSG00000143126.7	Esophagus_Mucosa
chr1	109818306	rs629301	CELSR2	NA	NA	diabetes mellitus	1e-49	109818305	109818306	chr1	109817600	109819600	5_TxWk	ENSG00000134243.7	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117527000	117530600	4_Tx	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117530000	117531000	7_Enh	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117529400	117532800	7_Enh	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117527000	117532200	4_Tx	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117526200	117531200	5_TxWk	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117530400	117531400	6_EnhG	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117527800	117531200	5_TxWk	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117526000	117531200	5_TxWk	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117530000	117532200	7_Enh	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117527400	117531000	4_Tx	ENSG00000134247.9	Esophagus_Mucosa
chr1	117530507	rs1127655	PTGFRN	NA	NA	type II diabetes mellitus	2e-08	117530506	117530507	chr1	117530200	117531200	5_TxWk	ENSG00000134247.9	Esophagus_Mucosa
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183008400	183009600	7_Enh	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183008400	183009600	7_Enh	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183000200	183013400	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183000200	183013400	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183009200	183009600	7_Enh	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183009200	183009600	7_Enh	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183007600	183010000	7_Enh	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	1e-06	183009276	183009277	chr1	183007600	183010000	7_Enh	ENSG00000058085.10	Colon_Sigmoid
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183000000	183013200	5_TxWk	ENSG00000058085.10	Esophagus_Muscularis
chr1	183009277	rs10911205	LAMC1	NA	NA	Hypertriglyceridemia	2e-07	183009276	183009277	chr1	183000000	183013200	5_TxWk	ENSG00000058085.10	Colon_Sigmoid
